time,tot_INT,tot_IE,tot_IMS,tot_reduced,num_INT,num_IE,num_IMS,num_INT_IE,num_INT_IMS,num_IE_IMS
0.0,856.6197595598427,2920.673686204749,698.9305178294559,0.0,1381,2543,362,5,1,0
1.0,889.8917631734126,2887.712638830596,698.6195615900401,0.0,1381,2543,362,5,1,0
2.0,843.4344231010214,2848.89076910613,698.6195615900401,85.27920979685656,1411,2421,361,97,2,0
3.0,805.3566108272706,2780.1562169185854,698.6195615900401,192.09157425814777,1390,2360,361,157,2,0
4.0,754.3055857171195,2713.073399628073,698.6195615900401,310.2254166588115,1319,2244,361,263,2,0
5.0,882.5094047307894,2641.073616043172,698.6195615900401,253.57300279036744,1142,2155,361,346,2,0
6.0,982.8001321723519,2561.243481107253,698.171729196982,231.73078942966967,1220,2064,361,432,2,0
7.0,1071.6714070652413,2476.1491978654453,694.9240873427875,227.20668662638295,1254,1909,360,573,3,0
8.0,1131.3128014126103,2397.0376433904203,693.9049435869453,242.77110156462805,1287,1849,353,631,10,0
9.0,1198.3878653456525,2334.3417873704775,693.9049435869453,233.25404135150637,1295,1814,350,658,13,0
0.0,858.8571429898981,2911.206301679673,687.374132974031,0.0,1381,2543,362,5,1,0
1.0,893.1075865838397,2877.279219414523,687.0507716452372,0.0,1381,2543,362,5,1,0
2.0,843.3436275408557,2837.263232948509,687.0507716452372,89.7799455089981,1420,2421,361,88,2,0
3.0,806.2138749682975,2762.6641744945223,687.0507716452372,201.50875653554277,1401,2335,361,172,2,0
4.0,761.363342855857,2693.29024019332,687.0507716452372,315.7332229491882,1328,2235,361,263,2,0
5.0,881.3641191179422,2628.3980739880813,686.6550800366132,261.65986011617986,1176,2174,361,317,2,0
6.0,969.2803442382517,2557.7169283446256,686.3354181817621,242.9434812161992,1234,2115,361,366,2,0
7.0,1052.5401369656631,2480.514541791821,686.3354181817621,237.3122689408951,1275,1969,360,505,3,0
8.0,1117.6750497509472,2412.520375208494,686.3354181817621,237.07506961696475,1300,1860,359,605,4,0
9.0,1200.0336656120987,2343.1864103645144,684.7435588389202,221.0285635430819,1312,1841,359,617,4,0
10.0,1272.4027366961159,2266.61169201378,683.8290845958209,217.96726429524614,1356,1813,356,637,7,0
11.0,1349.6462499213278,2197.14062520466,682.2113096261528,199.56200120865304,1396,1732,353,708,10,0
12.0,1512.8120481564017,2116.94738758896,679.9447803864437,118.8559698289929,1412,1683,348,754,15,0
13.0,1635.6640196296578,2039.100891713339,678.368148953386,75.4271256644183,1480,1636,343,789,20,0
14.0,1718.080353856307,1961.7289601318423,677.8747363501346,70.87613562251781,1505,1610,340,804,23,0
15.0,1725.6799984600343,1892.6987102278943,675.5943273958737,134.58714987699778,1530,1602,340,790,23,0
16.0,1786.6184324418462,1806.32878794874,673.3197840212788,162.23317923730858,1532,1621,339,748,24,0
17.0,1857.4409471764636,1747.9496732695088,671.996488608649,150.60317083329554,1577,1632,336,688,27,0
18.0,1914.1599804166099,1711.3589867119517,670.7087479046132,130.8630370046637,1614,1622,337,671,26,0
19.0,1987.5995971131147,1663.9762786121285,669.8655256140042,103.10660309526939,1637,1575,334,702,29,0
20.0,2029.5053665678608,1630.1895551769367,668.0451800722531,89.82351132261064,1657,1555,328,699,35,0
21.0,2072.8155569965443,1592.883809857216,665.3074033226553,79.71309290840865,1679,1541,326,693,37,0
22.0,2113.768595142347,1556.139024624516,662.9898642209507,68.73664805529177,1704,1534,320,683,43,0
23.0,2121.38422739085,1549.1258501129455,661.2205609875031,59.797658917645556,1729,1542,317,652,46,0
24.0,2227.373666096279,1480.4415571678528,659.5362838935071,24.176790251308294,1743,1556,317,621,46,0
25.0,2304.9769300240864,1409.916225402182,659.3796669909412,17.25547499173669,1786,1526,314,614,49,0
26.0,2331.7721074311266,1377.8925302644252,659.0571011831153,22.806558530281343,1827,1518,314,584,49,0
27.0,2359.551343713876,1335.2045344689432,658.5582451099943,38.21417411613426,1857,1506,314,566,49,0
28.0,2401.377411284778,1293.89424290214,657.8050678285465,38.90036287475258,1892,1515,319,520,44,0
29.0,2446.6568778439528,1259.9822321206377,656.3199995242323,30.06157968571176,1947,1518,318,462,45,0
30.0,2474.5855750203473,1236.9676059564233,654.914805097783,26.113393817686912,1987,1509,313,432,50,0
0.0,834.2460297440945,2930.035244376157,702.5850896292541,0.0,1381,2543,362,5,1,0
1.0,873.5328322407254,2890.7484418795243,702.5850896292541,0.0,1381,2543,362,5,1,0
2.0,860.5372465642392,2826.5229142426733,702.5850896292541,77.22111331333747,1383,2458,362,88,1,0
3.0,833.9455950431701,2758.0210183990393,702.1170117200588,172.78273858723435,1377,2377,362,165,1,0
4.0,784.7427586683598,2695.4105123166373,701.5310929515485,285.1819998129568,1321,2271,361,265,2,0
0.0,850.36384255861,2944.6259253785165,701.9512467963996,0.0,1381,2543,362,5,1,0
1.0,894.5375689387776,2900.452198998346,701.9512467963996,0.0,1381,2543,362,5,1,0
2.0,875.8861642379527,2829.893680189365,701.9512467963996,89.20992350980619,1381,2470,362,78,1,0
3.0,840.7024727114591,2759.9541934797517,701.9512467963996,194.3331017459144,1380,2300,362,234,1,0
4.0,797.2873487805066,2691.0130243592725,701.9512467963996,306.6893947973478,1299,2205,362,325,1,0
5.0,924.6575564306888,2626.1584578528186,700.9348863013954,245.45523112147993,1108,2119,362,410,1,0
0.0,858.34029813211,2946.039768005375,703.299935156769,0.0,1381,2543,362,5,1,0
1.0,901.5691285891849,2902.8109375483004,703.299935156769,0.0,1381,2543,362,5,1,0
2.0,887.8584518071779,2836.2214685381437,703.299935156769,80.30014579216089,1382,2459,362,88,1,0
3.0,864.2467352235038,2748.5383777608417,703.299935156769,191.59495315313336,1370,2372,362,172,1,0
4.0,829.2792930648419,2673.861300479424,703.299935156769,301.2394725932143,1330,2133,362,386,1,0
5.0,944.5496934330213,2599.2596529671932,702.7199625118566,262.3354105981836,1150,2072,362,444,1,0
6.0,1023.2014646516325,2541.97866168279,702.7199625118566,240.05418121170288,1211,2015,361,496,2,0
7.0,1067.13921726186,2463.1258087926576,702.7199625118566,274.0305312503169,1267,1982,361,525,2,0
8.0,1158.219310827591,2367.5206085641935,700.8507704007783,275.30533272610984,1254,1961,361,537,2,0
9.0,1223.6207989786703,2304.95888424166,698.9116700097223,268.5959865554171,1297,1906,357,575,6,0
0.0,860.6087901664295,2951.7875914216484,702.2343766622275,0.0,1381,2543,362,5,1,0
1.0,915.3804976576005,2897.0158839304722,702.2343766622275,0.0,1381,2543,362,5,1,0
2.0,912.4614860064785,2818.6220391426914,702.2343766622275,81.31285643890567,1383,2426,362,120,1,0
0.0,866.9601925991096,2931.186431986299,689.9632310676462,0.0,1382,2543,362,4,1,0
1.0,923.821486025552,2874.3251385598523,689.9632310676462,0.0,1382,2543,362,4,1,0
2.0,891.0878738680572,2801.137078376135,689.9632310676462,105.92167234121294,1411,2350,362,168,1,0
0.0,864.1146481438362,2922.7583939735136,706.8645670902682,0.0,1381,2543,362,5,1,0
1.0,913.3732613002525,2873.499780817094,706.8645670902682,0.0,1381,2543,362,5,1,0
0.0,848.7473729623806,2981.7413795822586,699.3847116394417,0.0,1381,2543,362,5,1,0
1.0,902.4001973714177,2928.088555173218,699.3847116394417,0.0,1381,2543,362,5,1,0
2.0,899.5646270630263,2852.560615789191,699.3847116394417,78.3635096924207,1408,2368,362,153,1,0
3.0,879.257745975515,2765.5904422894837,698.9420040028641,186.08327191621234,1412,2190,362,312,1,0
4.0,845.1940581727387,2680.9437983307307,698.9420040028641,304.7936036777423,1330,2084,361,413,2,0
5.0,941.7127409706452,2617.237168689549,698.2789170014503,272.35618903920255,1155,2024,362,457,1,0
6.0,1016.4102914321627,2544.4964039707274,698.2789170014503,267.0398500920713,1217,1923,359,553,4,0
7.0,1086.932671102038,2461.0352282948065,697.7599120164788,276.75968056060157,1272,1887,359,580,4,0
8.0,1140.1486297057124,2387.896274052009,697.7599120164788,291.3830494412291,1303,1857,358,598,5,0
0.0,857.0737218359907,2961.470925476773,694.0467068651122,0.0,1381,2543,362,5,1,0
0.0,857.0737218359907,2961.470925476773,694.0467068651122,0.0,1381,2543,362,5,1,0
0.0,858.796151811752,2959.7484955010123,694.0467068651122,0.0,1381,2543,362,5,1,0
0.0,860.4490632764343,2958.09558403633,694.0467068651122,0.0,1381,2539,362,9,1,0
0.0,861.2124308617764,2957.3322164509877,694.0467068651122,0.0,1383,2533,362,13,1,0
0.0,861.3432379859336,2956.9861055798606,694.0467068651122,0.21530374697016355,1383,2533,362,13,1,0
0.0,861.8672436063999,2956.354448085909,694.0467068651122,0.32295562045524534,1383,2533,362,13,1,0
0.0,861.9349910881444,2955.686661629622,694.0467068651122,0.9229945949979752,1383,2533,362,13,1,0
0.0,851.4125188247069,2906.170258597195,708.5294355242385,0.0,1381,2543,362,5,1,0
1.0,891.9717241343363,2865.6110532875678,708.5294355242385,0.0,1381,2543,362,5,1,0
2.0,886.6015135972842,2793.575702422324,708.5294355242385,77.40556140229569,1382,2464,362,83,1,0
3.0,880.6549807003743,2700.9883528486203,708.5294355242385,175.93944387290773,1368,2331,362,214,1,0
4.0,835.332381949123,2637.542785998031,707.3814743356555,285.85557066333155,1325,2101,362,415,1,0
5.0,928.2866313542846,2583.340365059064,707.3814743356555,247.11708787468518,1176,2049,360,460,3,0
6.0,1009.5964633828116,2510.5887940519265,706.3679196869451,239.63968022260863,1212,2005,360,498,3,0
7.0,1077.172855025237,2429.14098915271,706.3679196869451,250.6814629899991,1255,1884,358,606,5,0
8.0,1141.9254981634786,2337.5440251934037,705.5800531961328,270.5321083028903,1269,1830,357,654,6,0
9.0,1229.2801496512307,2243.4968846649895,704.7772239785932,268.04891008226167,1312,1789,355,683,8,0
10.0,1346.7245397481504,2149.538058018008,703.142828763483,235.94873643856877,1331,1748,353,715,10,0
11.0,1436.2585779193216,2056.71843263672,702.0992938289447,225.75784960939058,1366,1694,349,756,14,0
12.0,1605.2375204506611,1986.417744682777,701.3633140811601,127.81557477977942,1413,1689,350,746,13,0
13.0,1703.8967599991474,1914.7285582589532,700.0718094242425,102.13702631203235,1493,1632,347,783,16,0
14.0,1778.0056805863424,1845.3978512770252,699.6868825866253,97.74373954438585,1527,1607,345,785,18,0
15.0,1767.9792522178516,1786.7963524674358,698.9199918139471,167.13855749514497,1550,1594,345,773,18,0
16.0,1867.9799870849072,1709.5444712384146,698.3559675932893,145.72904369864403,1560,1610,345,727,18,0
17.0,1951.8242139505594,1653.7805548544177,694.5939690282344,122.13203421405565,1600,1612,343,686,20,0
18.0,1997.6545100059116,1627.4654519531105,693.6112814214234,100.81736613651837,1635,1599,339,670,24,0
19.0,2040.6604506552956,1591.9298800793968,691.9896579326694,91.13654400287972,1668,1569,337,680,26,0
20.0,2082.684078145825,1555.940904279358,689.1575665717942,85.68241066273639,1686,1559,334,668,29,0
21.0,2127.7931206110848,1523.9314128931533,688.239957492209,68.99816295006657,1713,1565,329,641,34,0
0.0,860.2130100645562,2903.2254072175715,696.7059935724888,0.0,1382,2543,362,4,1,0
0.0,855.1896065395861,2913.7161869858314,699.8943271914387,0.0,1381,2543,362,5,1,0
0.0,853.6292966564077,2946.562757553941,696.1925062338292,0.0,1381,2543,362,5,1,0
0.0,833.0536759506721,2941.8159058911565,699.1597681875046,0.0,1381,2543,362,5,1,0
0.0,854.6341786255846,2949.8960187258417,696.9532308637182,0.0,1381,2543,362,5,1,0
0.0,844.6082461295324,2927.4337106525013,698.8777425813414,0.0,1381,2543,362,5,1,0
0.0,855.7253870826314,2941.3354463556575,694.627649379924,0.0,1382,2543,362,4,1,0
0.0,868.7217097834791,2929.562166638289,693.5671168391042,0.0,1381,2543,362,5,1,0
0.0,853.1160701306004,2937.8932088967767,700.0005502615659,0.0,1381,2543,362,5,1,0
0.0,865.4985743696591,2921.574074706059,697.5410805695522,0.0,1381,2543,362,5,1,0
0.0,861.1969070248808,2950.501461285023,690.4030614155226,0.0,1382,2543,362,4,1,0
0.0,870.5396741783046,2903.750833840288,695.3827935686038,0.0,1381,2543,362,5,1,0
0.0,841.1956831094213,2962.894141121246,698.9417741229247,0.0,1381,2543,362,5,1,0
0.0,841.1956831094213,2962.894141121246,698.9417741229247,0.0,1381,2543,362,5,1,0
0.0,862.3022940476504,2964.2518404357997,701.2761236449204,0.0,1381,2543,362,5,1,0
0.0,865.481545687279,2961.072588796172,701.2761236449204,0.0,1381,2543,362,5,1,0
0.0,875.2230063045891,2949.2350197144096,701.2761236449204,2.096108464452847,1389,2525,362,15,1,0
0.0,893.55996832728,2923.670042641907,701.2761236449204,9.32412351426203,1389,2509,362,31,1,0
0.0,912.7420058472843,2895.9714121273614,701.2761236449204,17.840716508801997,1385,2450,362,90,1,0
0.0,938.7472139757627,2864.530889358986,701.2761236449204,23.27603114870043,1385,2401,362,138,1,0
